label,"transform  {A:7.320508075688773, B:12.679491924311227}",angle,transform[0].x,transform[0].y,transform[1].x,transform[1].y,transform[2].x,transform[2].y
"Xi","((-16.5)*A + (-5.0)*B*√3)-((9.0)*B + (-0.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-230.59600438419633,-107.77568135664542
"Phi","((-16.5)*A + (-5.0)*B*√3)-((9.0)*B + (0.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-230.59600438419633,-120.45517328095666
"Sigma","((-15.0)*A + (-5.0)*B*√3)-((9.0)*B + (1.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,-219.61524227066317,-126.79491924311226
"Pi","((-16.5)*A + (-4.5)*B*√3)-((10.5)*B + (1.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,-219.61524227066317,-152.15390309173472
"Phi","((-15.0)*A + (-4.5)*B*√3)-((10.5)*B + (1.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,-208.63448015713,-145.81415712957912
"Gamma1","((-13.5)*A + (-3.0)*B*√3)-((9.0)*B + (1.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-164.71143170299737,-133.13466520526788
"Gamma2","((-15.0)*A + (-3.5)*B*√3)-((10.5)*B)*i",150,-0.8660254037844386,0.5,-0.5,-0.8660254037844386,-186.67295593006372,-133.13466520526788
"Psi","((-16.5)*A + (-6.5)*B*√3)-((7.5)*B + (-3.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,-263.5382907247958,-50.71796769724491
"Delta","((-18.0)*A + (-6.5)*B*√3)-((7.5)*B + (-3.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-274.519052838329,-57.05771365940052
"Pi","((-18.0)*A + (-7.5)*B*√3)-((7.5)*B + (-4.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-296.4805770653953,-44.3782217350893
"Phi","((-18.0)*A + (-7.5)*B*√3)-((7.5)*B + (-3.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-296.4805770653953,-57.05771365940052
"Sigma","((-16.5)*A + (-7.5)*B*√3)-((7.5)*B + (-2.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,-285.4998149518621,-63.39745962155614
"Psi","((-18.0)*A + (-7.0)*B*√3)-((9.0)*B + (-2.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,-285.49981495186216,-88.7564434701786
"Phi","((-16.5)*A + (-7.0)*B*√3)-((9.0)*B + (-2.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,-274.519052838329,-82.41669750802298
"Gamma1","((-15.0)*A + (-5.5)*B*√3)-((7.5)*B + (-2.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-230.59600438419636,-69.73720558371176
"Gamma2","((-16.5)*A + (-6.0)*B*√3)-((9.0)*B + (-3.5)*A*√3)*i",150,-0.8660254037844386,0.5,-0.5,-0.8660254037844386,-252.55752861126263,-69.73720558371176
"Psi","((-10.5)*A + (-4.0)*B*√3)-((6.0)*B + (-1.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,-164.7114317029974,-57.05771365940052
"Delta","((-12.0)*A + (-4.0)*B*√3)-((6.0)*B + (-2.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,-175.69219381653056,-50.71796769724491
"Psi","((-10.5)*A + (-4.5)*B*√3)-((4.5)*B + (-2.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,-175.69219381653056,-25.358983848622454
"Phi","((-12.0)*A + (-4.5)*B*√3)-((4.5)*B + (-2.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-186.67295593006372,-31.69872981077807
"Sigma","((-12.0)*A + (-4.5)*B*√3)-((4.5)*B + (-1.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-186.67295593006372,-44.3782217350893
"Pi","((-13.5)*A + (-5.0)*B*√3)-((6.0)*B + (-1.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-208.63448015713,-57.05771365940052
"Phi","((-12.0)*A + (-5.0)*B*√3)-((6.0)*B + (-1.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,-197.65371804359688,-63.39745962155614
"Gamma1","((-12.0)*A + (-3.5)*B*√3)-((7.5)*B)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-164.7114317029974,-95.0961894323342
"Gamma2","((-10.5)*A + (-4.5)*B*√3)-((7.5)*B + (-1.5)*A*√3)*i",90,0.0,1.0,-1.0,0.0,-175.69219381653056,-76.07695154586736
"Xi","((-10.5)*A + (-2.0)*B*√3)-((9.0)*B + (2.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,-120.78838324886476,-145.81415712957912
"Delta","((-10.5)*A + (-2.0)*B*√3)-((9.0)*B + (1.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,-120.78838324886476,-133.13466520526788
"Xi","((-9.0)*A + (-1.5)*B*√3)-((7.5)*B + (2.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,-98.82685902179844,-120.45517328095664
"Phi","((-10.5)*A + (-1.5)*B*√3)-((7.5)*B + (1.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,-109.8076211353316,-114.11542731880104
"Sigma","((-12.0)*A + (-1.5)*B*√3)-((7.5)*B + (2.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-120.78838324886476,-120.45517328095664
"Pi","((-12.0)*A + (-2.5)*B*√3)-((7.5)*B + (1.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-142.74990747593108,-107.77568135664542
"Lambda","((-12.0)*A + (-2.5)*B*√3)-((7.5)*B + (2.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-142.74990747593108,-120.45517328095664
"Gamma1","((-13.5)*A + (-2.5)*B*√3)-((10.5)*B + (2.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,-153.7306695894642,-164.83339501604596
"Gamma2","((-10.5)*A + (-3.0)*B*√3)-((9.0)*B + (2.5)*A*√3)*i",30,0.8660254037844386,0.5,-0.5,0.8660254037844386,-142.74990747593108,-145.81415712957912
"Psi","((-4.5)*A)-((6.0)*B + (3.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,-32.94228634059948,-120.45517328095664
"Delta","((-4.5)*A)-((6.0)*B + (2.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,-32.94228634059948,-107.77568135664542
"Xi","((-3.0)*A + (0.5)*B*√3)-((4.5)*B + (3.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,-10.980762113533162,-95.0961894323342
"Phi","((-4.5)*A + (0.5)*B*√3)-((4.5)*B + (2.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,-21.96152422706632,-88.75644347017858
"Sigma","((-6.0)*A + (0.5)*B*√3)-((4.5)*B + (3.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-32.94228634059948,-95.0961894323342
"Psi","((-6.0)*A + (-0.5)*B*√3)-((4.5)*B + (2.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-54.9038105676658,-82.41669750802296
"Phi","((-6.0)*A + (-0.5)*B*√3)-((4.5)*B + (3.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-54.9038105676658,-95.0961894323342
"Gamma1","((-7.5)*A + (-0.5)*B*√3)-((7.5)*B + (3.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,-65.88457268119895,-139.47441116742348
"Gamma2","((-4.5)*A + (-1.0)*B*√3)-((6.0)*B + (3.5)*A*√3)*i",30,0.8660254037844386,0.5,-0.5,0.8660254037844386,-54.9038105676658,-120.45517328095664
"Psi","((-10.5)*A + (-0.5)*B*√3)-((10.5)*B + (5.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,-87.84609690826528,-202.8718707889796
"Delta","((-9.0)*A + (-0.5)*B*√3)-((10.5)*B + (5.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,-76.86533479473212,-196.532124826824
"Psi","((-9.0)*A + (0.5)*B*√3)-((10.5)*B + (6.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,-54.9038105676658,-209.21161675113524
"Phi","((-9.0)*A + (0.5)*B*√3)-((10.5)*B + (5.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,-54.9038105676658,-196.532124826824
"Sigma","((-10.5)*A + (0.5)*B*√3)-((10.5)*B + (4.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,-65.88457268119896,-190.1923788646684
"Pi","((-9.0)*A)-((9.0)*B + (4.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,-65.88457268119896,-164.83339501604593
